file,W,participant,food_code_Y,trial_ZZ,serving_segment_idx,start_frame,end_frame,start_time_s,end_time_s,start_sample,end_sample,threshold_used,used_idleTail_calibration,debug_plot
1_001_02_02.pcm,1,001,2,2,15,1967,2008,22.84843537414966,23.312834467120183,1007616,1028608,-11.451845169067383,False,1_001_02_02_serving_segments.png
1_001_02_02.pcm,1,001,2,2,16,2096,2138,24.346122448979592,24.822131519274375,1073664,1095168,-11.451845169067383,False,1_001_02_02_serving_segments.png
1_001_02_02.pcm,1,001,2,2,17,2225,2267,25.843809523809522,26.31981859410431,1139712,1161216,-11.451845169067383,False,1_001_02_02_serving_segments.png
1_001_02_02.pcm,1,001,2,2,18,2354,2396,27.341496598639456,27.817505668934242,1205760,1227264,-11.451845169067383,False,1_001_02_02_serving_segments.png
1_001_02_02.pcm,1,001,2,2,19,2483,2525,28.83918367346939,29.31519274376417,1271808,1293312,-11.451845169067383,False,1_001_02_02_serving_segments.png
1_001_06_01.pcm,1,001,6,1,0,30,72,0.3599092970521542,0.8359183673469388,15872,37376,-13.532949447631836,False,1_001_06_01_serving_segments.png
1_001_06_01.pcm,1,001,6,1,1,159,202,1.8575963718820863,2.345215419501134,81920,103936,-13.532949447631836,False,1_001_06_01_serving_segments.png
1_001_06_01.pcm,1,001,6,1,2,289,331,3.3668934240362813,3.842902494331066,148480,169984,-13.532949447631836,False,1_001_06_01_serving_segments.png
1_001_06_01.pcm,1,001,6,1,3,418,461,4.864580498866213,5.352199546485261,214528,236544,-13.532949447631836,False,1_001_06_01_serving_segments.png
1_001_06_01.pcm,1,001,6,1,4,547,590,6.362267573696145,6.849886621315193,280576,302592,-13.532949447631836,False,1_001_06_01_serving_segments.png
1_001_06_01.pcm,1,001,6,1,5,676,719,7.859954648526077,8.347573696145124,346624,368640,-13.532949447631836,False,1_001_06_01_serving_segments.png
1_001_06_01.pcm,1,001,6,1,6,805,848,9.357641723356009,9.845260770975056,412672,434688,-13.532949447631836,False,1_001_06_01_serving_segments.png
1_001_06_01.pcm,1,001,6,1,7,934,978,10.85532879818594,11.354557823129252,478720,501247,-13.532949447631836,False,1_001_06_01_serving_segments.png
1_001_06_01.pcm,1,001,6,1,8,1063,1107,12.353015873015874,12.852244897959183,544768,567296,-13.532949447631836,False,1_001_06_01_serving_segments.png
1_001_06_01.pcm,1,001,6,1,9,1193,1236,13.862312925170068,14.349931972789115,611328,633344,-13.532949447631836,False,1_001_06_01_serving_segments.png
1_001_06_01.pcm,1,001,6,1,10,1322,1365,15.36,15.847619047619048,677376,699392,-13.532949447631836,False,1_001_06_01_serving_segments.png
1_001_06_01.pcm,1,001,6,1,11,1451,1494,16.857687074829933,17.345306122448978,743424,765440,-13.532949447631836,False,1_001_06_01_serving_segments.png
1_001_06_01.pcm,1,001,6,1,12,1580,1624,18.355374149659863,18.854603174603174,809471,831999,-13.532949447631836,False,1_001_06_01_serving_segments.png
1_001_06_01.pcm,1,001,6,1,13,1709,1753,19.853061224489796,20.352290249433107,875520,898048,-13.532949447631836,False,1_001_06_01_serving_segments.png
1_001_06_01.pcm,1,001,6,1,14,1838,1882,21.35074829931973,21.849977324263037,941568,964096,-13.532949447631836,False,1_001_06_01_serving_segments.png
1_001_06_01.pcm,1,001,6,1,15,1968,2012,22.86004535147392,23.359274376417233,1008127,1030655,-13.532949447631836,False,1_001_06_01_serving_segments.png
