file,participant,food_code_Y,trial_ZZ,serving_idx,start_time_s,end_time_s,start_frame,end_frame,thr_B,plot
1_020_04_01.pcm,020,4,1,0,1.5789569160997732,27.898775510204082,135,2403,-14.77989387512207,1_020_04_01_SERVING.png
1_020_04_02.pcm,020,4,2,0,1.5673469387755101,27.921995464852607,134,2405,-14.799245834350586,1_020_04_02_SERVING.png
1_020_04_03.pcm,020,4,3,0,1.5789569160997732,27.898775510204082,135,2403,-14.765241622924805,1_020_04_03_SERVING.png
1_020_04_04.pcm,020,4,4,0,1.555736961451247,27.910385487528345,133,2404,-14.8785400390625,1_020_04_04_SERVING.png
1_020_04_05.pcm,020,4,5,0,1.5789569160997732,27.93360544217687,135,2406,-14.83153247833252,1_020_04_05_SERVING.png
1_020_05_01.pcm,020,5,1,0,1.5673469387755101,27.898775510204082,134,2403,-14.785063743591309,1_020_05_01_SERVING.png
1_020_05_02.pcm,020,5,2,0,1.5673469387755101,27.910385487528345,134,2404,-14.838533401489258,1_020_05_02_SERVING.png
1_020_05_03.pcm,020,5,3,0,1.555736961451247,27.898775510204082,133,2403,-14.827360153198242,1_020_05_03_SERVING.png
1_020_07_01.pcm,020,7,1,0,1.5905668934240362,27.898775510204082,136,2403,-14.792156219482422,1_020_07_01_SERVING.png
1_020_07_02.pcm,020,7,2,0,1.5673469387755101,27.921995464852607,134,2405,-14.891098022460938,1_020_07_02_SERVING.png
1_020_07_03.pcm,020,7,3,0,1.5789569160997732,27.921995464852607,135,2405,-14.818347930908203,1_020_07_03_SERVING.png
1_020_07_04.pcm,020,7,4,0,1.5673469387755101,27.96843537414966,134,2409,-14.739741325378418,1_020_07_04_SERVING.png
1_020_09_01.pcm,020,9,1,0,1.6021768707482993,27.921995464852607,137,2405,-14.747687339782715,1_020_09_01_SERVING.png
1_020_09_02.pcm,020,9,2,0,1.5789569160997732,27.93360544217687,135,2406,-14.807936668395996,1_020_09_02_SERVING.png
1_020_09_03.pcm,020,9,3,0,1.555736961451247,27.956825396825398,133,2408,-14.76531982421875,1_020_09_03_SERVING.png
1_020_10_01.pcm,020,10,1,0,1.6137868480725623,27.956825396825398,138,2408,-14.581962585449219,1_020_10_01_SERVING.png
1_020_10_02.pcm,020,10,2,0,1.6253968253968254,27.945215419501135,139,2407,-14.47579288482666,1_020_10_02_SERVING.png
