model,feature,accuracy,acc_std,precision,recall,f1,f1_std
SVM,combined,0.8393,0.0454,0.7719,0.8776,0.8153,0.0623
RF,combined,0.6269,0.0553,0.5306,0.9906,0.6856,0.0862
kNN,combined,0.6276,0.0478,0.5325,0.9625,0.6798,0.0801
CNN,STFT,0.4257,0.0829,0.4257,1.0,0.5919,0.0909
CNN,MFCC,0.4257,0.0829,0.4257,1.0,0.5919,0.0909
