file,participant,food_code_Y,trial_ZZ,serving_idx,start_time_s,end_time_s,start_frame,end_frame,thr_B,plot
1_001_02_01.pcm,001,2,1,0,3.215963718820862,28.24707482993197,276,2433,-18.716711044311523,1_001_02_01_SERVING.png
1_001_02_02.pcm,001,2,2,0,6.257777777777778,28.189024943310656,538,2428,-18.161767959594727,1_001_02_02_SERVING.png
1_001_06_01.pcm,001,6,1,0,1.799546485260771,28.189024943310656,154,2428,-18.696117401123047,1_001_06_01_SERVING.png
1_001_06_02.pcm,001,6,2,0,3.2043537414965986,28.189024943310656,275,2428,-18.73554801940918,1_001_06_02_SERVING.png
1_001_06_03.pcm,001,6,3,0,4.702040816326531,28.15419501133787,404,2425,-18.741296768188477,1_001_06_03_SERVING.png
1_001_07_01.pcm,001,7,1,0,7.743854875283446,28.24707482993197,666,2433,-18.094472885131836,1_001_07_01_SERVING.png
1_001_07_02.pcm,001,7,2,0,3.1811337868480725,9.996190476190476,273,861,-18.01371192932129,1_001_07_02_SERVING.png
1_001_07_02.pcm,001,7,2,1,10.704399092970522,28.07292517006803,921,2418,-18.01371192932129,1_001_07_02_SERVING.png
1_001_07_03.pcm,001,7,3,0,4.771700680272109,7.024036281179138,410,605,-17.638845443725586,1_001_07_03_SERVING.png
1_001_07_03.pcm,001,7,3,1,9.229931972789116,12.956734693877552,794,1116,-17.638845443725586,1_001_07_03_SERVING.png
1_001_07_03.pcm,001,7,3,2,13.722993197278912,28.293514739229025,1181,2437,-17.638845443725586,1_001_07_03_SERVING.png
1_001_09_01.pcm,001,9,1,0,1.811156462585034,5.491519274376417,155,473,-18.454843521118164,1_001_09_01_SERVING.png
1_001_09_01.pcm,001,9,1,1,7.743854875283446,28.212244897959184,666,2430,-18.454843521118164,1_001_09_01_SERVING.png
1_001_09_02.pcm,001,9,2,0,1.7066666666666668,5.445079365079365,146,469,-18.414648056030273,1_001_09_02_SERVING.png
1_001_09_02.pcm,001,9,2,1,6.211337868480726,28.177414965986394,534,2427,-18.414648056030273,1_001_09_02_SERVING.png
1_001_09_03.pcm,001,9,3,0,1.7182766439909296,5.38702947845805,147,464,-18.27526092529297,1_001_09_03_SERVING.png
1_001_09_03.pcm,001,9,3,1,10.646349206349207,28.11936507936508,916,2422,-18.27526092529297,1_001_09_03_SERVING.png
1_001_10_01.pcm,001,10,1,0,9.195102040816327,28.2702947845805,791,2435,-17.648330688476562,1_001_10_01_SERVING.png
1_001_10_02.pcm,001,10,2,0,4.725260770975057,28.293514739229025,406,2437,-17.831130981445312,1_001_10_02_SERVING.png
1_001_10_04.pcm,001,10,4,0,3.250793650793651,28.08453514739229,279,2419,-18.032020568847656,1_001_10_04_SERVING.png
